SchoolName,SchoolYear,School List,FT Male,NONFT Male,Total Male,FT Female,NonFT Female,Total Female,FT Other,NonFT Other,Total Other,FT People of Color,NonFT People of Color,Total People of Color,Total FT,Total NonFT,Total,FullTimeLibrarians,PartTimeLibrarians,TotalLibrarians,FTMale,FTFemale,FTAGI,FTPNR,FTPOC,FTTotal,NONFTMale,NONFTFemale,NONFTAGI,NONFTPNR,NONFTPOC,NONFTTotal,MaleTotal,FemaleTotal,AGITotal,PNRTotal,POCTotal,TotalFaculties,FTLibrarians,PTLibrarians
,2022,DREXEL UNIVERSITY,14.0,53.0,67.0,22.0,44.0,66.0,0.0,0.0,0.0,9.0,18.0,27.0,36.0,97.0,133.0,6.0,0.0,6,,,,,,,,,,,,,,,,,,,,
,2022,DUKE UNIVERSITY,52.0,61.0,113.0,43.0,37.0,80.0,0.0,0.0,0.0,17.0,10.0,27.0,95.0,98.0,193.0,12.0,0.0,12,,,,,,,,,,,,,,,,,,,,
,2022,DUQUESNE UNIVERSITY,12.0,37.0,49.0,16.0,24.0,40.0,0.0,0.0,0.0,7.0,6.0,13.0,28.0,61.0,89.0,7.0,1.0,8,,,,,,,,,,,,,,,,,,,,
,2022,ELON UNIVERSITY,14.0,14.0,28.0,24.0,23.0,47.0,0.0,0.0,0.0,8.0,10.0,18.0,38.0,37.0,75.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,EMORY UNIVERSITY,30.0,68.0,98.0,30.0,65.0,95.0,0.0,0.0,0.0,12.0,29.0,41.0,60.0,133.0,193.0,11.0,0.0,11,,,,,,,,,,,,,,,,,,,,
,2022,FAULKNER UNIVERSITY,15.0,7.0,22.0,2.0,6.0,8.0,0.0,0.0,0.0,3.0,2.0,5.0,17.0,13.0,30.0,4.0,0.0,4,,,,,,,,,,,,,,,,,,,,
,2022,FLORIDA A&M UNIVERSITY,17.0,14.0,31.0,19.0,5.0,24.0,0.0,0.0,0.0,27.0,9.0,36.0,36.0,19.0,55.0,5.0,0.0,5,,,,,,,,,,,,,,,,,,,,
,2022,FLORIDA COASTAL SCHOOL OF LAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,
,2022,FLORIDA INTERNATIONAL UNIVERSITY,20.0,35.0,55.0,19.0,21.0,40.0,0.0,0.0,0.0,19.0,23.0,42.0,39.0,56.0,95.0,4.0,3.0,7,,,,,,,,,,,,,,,,,,,,
,2022,FLORIDA STATE UNIVERSITY,27.0,48.0,75.0,21.0,12.0,33.0,0.0,0.0,0.0,11.0,7.0,18.0,48.0,60.0,108.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
,2022,"FLORIDA, UNIVERSITY OF",36.0,151.0,187.0,48.0,108.0,156.0,0.0,0.0,0.0,23.0,58.0,81.0,84.0,259.0,343.0,8.0,0.0,8,,,,,,,,,,,,,,,,,,,,
