School Name,SchoolYear,Graduate Year,Total Graduates,Graduates who did not take the bar,Graduates with No Information,First Time Takers from Prior Years,Total First Time Takers,Total First Time Passers,Grads Admitted via Alternative Pathways,AvgSchoolPassPercent*,AvgStatePassPercent**,TotalDifferencePercent***,Pass % including Grads Admitted via Alternative Pathways,Graduates In 2022,Graduates who did not take the bar in 2022,Number of Early-Takers,Grads Admitted via Diploma Privilege,Pass % including Grads Admitted via Diploma Privilege,Graduates In 2023,Graduates who did not take the bar in 2023,Graduates who took bar exam before graduation,Graduates who took bar exam after graduation,Graduates In 2024,Graduates who did not take the bar in 2024
GONZAGA UNIVERSITY,2022,2021.0,141.0,17.0,0.0,15.0,139.0,114.0,0.0,82.02%,80.69%,1.33%,82.01%,,,,,,,,,,,
HARVARD UNIVERSITY,2022,2021.0,595.0,27.0,48.0,20.0,540.0,537.0,0.0,99.44%,82.04%,17.40%,99.44%,,,,,,,,,,,
"HAWAII, UNIVERSITY OF",2022,2021.0,111.0,9.0,21.0,30.0,111.0,80.0,0.0,72.07%,74.86%,-2.79%,72.07%,,,,,,,,,,,
HOFSTRA UNIVERSITY,2022,2021.0,267.0,13.0,0.0,14.0,268.0,195.0,0.0,72.76%,84.96%,-12.20%,72.76%,,,,,,,,,,,
"HOUSTON, UNIVERSITY OF",2022,2021.0,205.0,20.0,11.0,37.0,211.0,181.0,0.0,85.78%,77.57%,8.21%,85.78%,,,,,,,,,,,
HOWARD UNIVERSITY,2022,2021.0,141.0,22.0,0.0,16.0,135.0,85.0,0.0,62.96%,80.66%,-17.70%,62.96%,,,,,,,,,,,
"IDAHO, UNIVERSITY OF",2022,2021.0,143.0,21.0,2.0,13.0,133.0,89.0,0.0,66.92%,73.34%,-6.42%,66.92%,,,,,,,,,,,
"ILLINOIS, UNIVERSITY OF",2022,2021.0,121.0,6.0,0.0,7.0,122.0,103.0,0.0,84.43%,77.49%,6.94%,84.43%,,,,,,,,,,,
INDIANA UNIVERSITY - BLOOMINGTON,2022,2021.0,164.0,21.0,0.0,11.0,154.0,138.0,0.0,89.61%,77.73%,11.88%,89.61%,,,,,,,,,,,
INDIANA UNIVERSITY - INDIANAPOLIS,2022,2021.0,236.0,59.0,3.0,50.0,224.0,174.0,0.0,77.68%,75.93%,1.75%,77.68%,,,,,,,,,,,
INTER AMERICAN UNIVERSITY OF PUERTO RICO,2022,2021.0,169.0,74.0,0.0,94.0,95.0,32.0,0.0,33.68%,33.70%,-0.02%,33.68%,,,,,,,,,,,
"IOWA, UNIVERSITY OF",2022,2021.0,141.0,14.0,5.0,10.0,132.0,111.0,0.0,84.09%,75.48%,8.61%,84.09%,,,,,,,,,,,
"KANSAS, UNIVERSITY OF",2022,2021.0,98.0,9.0,0.0,9.0,98.0,94.0,0.0,95.92%,78.83%,17.09%,95.92%,,,,,,,,,,,
"KENTUCKY, UNIVERSITY OF",2022,2021.0,130.0,12.0,6.0,15.0,127.0,104.0,0.0,81.89%,76.80%,5.09%,81.89%,,,,,,,,,,,
LEWIS AND CLARK COLLEGE,2022,2021.0,176.0,31.0,0.0,14.0,159.0,128.0,0.0,80.50%,80.70%,-0.20%,80.50%,,,,,,,,,,,
LINCOLN MEMORIAL,2022,2021.0,86.0,16.0,0.0,5.0,75.0,38.0,0.0,50.67%,72.03%,-21.36%,50.67%,,,,,,,,,,,
LOUISIANA STATE UNIVERSITY,2022,2021.0,185.0,5.0,18.0,1.0,163.0,134.0,0.0,82.21%,74.82%,7.39%,82.21%,,,,,,,,,,,
"LOUISVILLE, UNIVERSITY OF",2022,2021.0,119.0,19.0,8.0,9.0,101.0,83.0,0.0,82.18%,76.98%,5.20%,82.18%,,,,,,,,,,,
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,2022,2021.0,309.0,42.0,0.0,23.0,290.0,255.0,0.0,87.94%,77.00%,10.94%,87.93%,,,,,,,,,,,
LOYOLA UNIVERSITY-CHICAGO,2022,2021.0,236.0,12.0,17.0,0.0,207.0,170.0,0.0,81.73%,76.92%,4.81%,82.13%,,,,,,,,,,,
LOYOLA UNIVERSITY-NEW ORLEANS,2022,2021.0,152.0,19.0,1.0,29.0,161.0,129.0,0.0,80.12%,75.06%,5.06%,80.12%,,,,,,,,,,,
"MAINE, UNIVERSITY OF",2022,2021.0,81.0,9.0,0.0,11.0,83.0,56.0,0.0,67.47%,66.40%,1.07%,67.47%,,,,,,,,,,,
MARQUETTE UNIVERSITY,2022,2021.0,189.0,187.0,0.0,0.0,2.0,1.0,182.0,50.00%,77.18%,-27.18%,99.46%,,,,,,,,,,,
"MARYLAND, UNIVERSITY OF",2022,2021.0,210.0,25.0,7.0,24.0,202.0,167.0,0.0,82.67%,75.54%,7.13%,82.67%,,,,,,,,,,,
MCGEORGE SCHOOL OF LAW,2022,2021.0,188.0,37.0,2.0,28.0,177.0,139.0,0.0,78.53%,76.59%,1.94%,78.53%,,,,,,,,,,,
"MEMPHIS, UNIVERSITY OF",2022,2021.0,115.0,20.0,5.0,21.0,111.0,85.0,0.0,76.58%,71.56%,5.02%,76.58%,,,,,,,,,,,
MERCER UNIVERSITY,2022,2021.0,122.0,8.0,0.0,1.0,115.0,90.0,0.0,78.26%,78.11%,0.15%,78.26%,,,,,,,,,,,
"MIAMI, UNIVERSITY OF",2022,2021.0,366.0,120.0,0.0,39.0,285.0,233.0,0.0,81.76%,70.07%,11.69%,81.75%,,,,,,,,,,,
