SchoolName,SchoolYear,School List,JD1 Transfers Out,Transfer In,75th Percentile JD1 GPA,GPA50thPercentile,GPA25thPercentile,TransferIn,50th Percentile JD1 GPA,25th Percentile JD1 GPA
,2022,"MISSOURI-KANSAS CITY, UNIVERSITY OF",0,3.0,0.0,0.0,0.0,,,
,2022,MITCHELL|HAMLINE,1,6.0,0.0,3.05,0.0,,,
,2022,"MONTANA, UNIVERSITY OF",0,0.0,0.0,0.0,0.0,,,
,2022,"NEBRASKA, UNIVERSITY OF",1,0.0,0.0,0.0,0.0,,,
,2022,NEW ENGLAND LAW | BOSTON,7,3.0,0.0,0.0,0.0,,,
,2022,NEW HAMPSHIRE UNIVERSITY OF,4,8.0,0.0,2.96,0.0,,,
,2022,"NEW MEXICO, UNIVERSITY OF",0,1.0,0.0,0.0,0.0,,,
,2022,NEW YORK LAW SCHOOL,9,0.0,0.0,0.0,0.0,,,
,2022,NEW YORK UNIVERSITY,0,51.0,3.85,3.77,3.71,,,
,2022,NORTH CAROLINA CENTRAL UNIVERSITY,2,3.0,0.0,0.0,0.0,,,
,2022,"NORTH CAROLINA, UNIVERSITY OF",1,6.0,0.0,3.62,0.0,,,
,2022,"NORTH DAKOTA, UNIVERSITY OF",5,1.0,0.0,0.0,0.0,,,
,2022,NORTHEASTERN UNIVERSITY,4,5.0,0.0,0.0,0.0,,,
,2022,NORTHERN ILLINOIS UNIVERSITY,8,2.0,0.0,0.0,0.0,,,
,2022,NORTHERN KENTUCKY UNIVERSITY,0,1.0,0.0,0.0,0.0,,,
,2022,NORTHWESTERN UNIVERSITY,5,29.0,3.83,3.74,3.66,,,
,2022,"NOTRE DAME, UNIVERSITY OF",0,9.0,0.0,3.52,0.0,,,
,2022,NOVA SOUTHEASTERN UNIVERSITY,14,7.0,0.0,3.06,0.0,,,
,2022,OHIO NORTHERN UNIVERSITY,0,2.0,0.0,0.0,0.0,,,
,2022,OHIO STATE UNIVERSITY,1,6.0,0.0,3.56,0.0,,,
,2022,OKLAHOMA CITY UNIVERSITY,9,2.0,0.0,0.0,0.0,,,
,2022,"OKLAHOMA, UNIVERSITY OF",6,3.0,0.0,0.0,0.0,,,
,2022,"OREGON, UNIVERSITY OF",3,1.0,0.0,0.0,0.0,,,
,2022,PACE UNIVERSITY,8,4.0,0.0,0.0,0.0,,,
,2022,PENNSYLVANIA STATE - DICKINSON LAW,4,4.0,0.0,0.0,0.0,,,
,2022,PENNSYLVANIA STATE - PENN STATE LAW,1,0.0,0.0,0.0,0.0,,,
,2022,"PENNSYLVANIA, UNIVERSITY OF",4,1.0,0.0,0.0,0.0,,,
,2022,PEPPERDINE UNIVERSITY,5,5.0,0.0,0.0,0.0,,,
,2022,"PITTSBURGH, UNIVERSITY OF",2,2.0,0.0,0.0,0.0,,,
,2022,PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,3,0.0,0.0,0.0,0.0,,,
,2022,"PUERTO RICO, UNIVERSITY OF",0,2.0,0.0,0.0,0.0,,,
,2022,QUINNIPIAC UNIVERSITY,6,0.0,0.0,0.0,0.0,,,
,2022,REGENT UNIVERSITY,4,0.0,0.0,0.0,0.0,,,
,2022,"RICHMOND, UNIVERSITY OF",4,7.0,0.0,3.27,0.0,,,
,2022,ROGER WILLIAMS UNIVERSITY,5,3.0,0.0,0.0,0.0,,,
,2022,RUTGERS UNIVERSITY,7,19.0,3.4,3.34,3.16,,,
,2022,SAINT LOUIS UNIVERSITY,4,2.0,0.0,0.0,0.0,,,
,2022,SAMFORD UNIVERSITY,0,0.0,0.0,0.0,0.0,,,
