SchoolName,SchoolYear,Total # total  students #,Total # total of Students %,Total # of students FT #,Total # of students FT %,Total # of students PT #,Total # of students PT %,Total  # receiving grants total #,Total # receiving grants total %,Total # receiving grants FT #,Total # receiving grants FT %,Total # receiving grants PT #,Total # receiving grants PT %,Less than half tuition total #,Less than half tuition total %,Less than half tuition FT #,Less than half tuition FT %,Less than half tuition PT #,Less than half tuition PT %,Half to full tuition total #,Half to full tuition total %,half to full tuition FT #,half to full tuition FT %,half to full tuition PT #,half to full tuition PT %,Full tuition total #,Full tuition total %,Full tuition FT #,Full tuition FT %,Full tuition PT #,Full tuition PT %,More than full tuition total #,More than full tuition total %,More than full tuition FT #,More than full tuition FT %,More than full tuition PT #,More than full tuition PT %,FT 75th percentile grant amount,FT 50th percentile grant amount,FT 25th percentile grant amount,PT 75th percentile grant amount,PT 50th percentile grant amount,PT 25th percentile grant amount,Total Number # of Students Total #,Total Percentage # of Students Total %,Total Number # of Students FT #,Total Percentage # of Students FT %,Total Number # of Students PT #,Total Percentage # of Students PT %,Total Number # of Recieving Grants Total #,Total Percentage # of Recieving Grants Total %,Total Number # of Recieving Grants FT #,Total Percentage # of Recieving Grants FT %,Total Number # of Recieving Grants PT #,Total Percentage # of Recieving Grants PT %,Less than half tuition Total Number #,Less than half tuition Total Percentage %,Less than half tuition FT Number #,Less than half tuition FT Percentage %,Less than half tuition PT Number #,Less than half tuition PT Percentage %,Half to full tuition total Number #,Half to full tuition total Percentage %,Half to full tuition FT Number #,Half to full tuition FT Percentage %,Half to full tuition PT Number #,Half to full tuition PT Percentage %,Full tuition total Number #,Full tuition total Percentage %,Full tuition FT Number #,Full tuition FT Percentage %,Full tuition PT Number #,Full tuition PT Percentage %,More than full tuition total Number #,More than full tuition total Percentage %,More than full tuition FT Number #,More than full tuition FT Percentage %,More than full tuition PT Number #,More than full tuition PT Percentage %
Washington University (St. Louis),2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$55,000","$42,000","$36,000",$0,$0,$0,780.0,100.0,780.0,100.0,0.0,0.0,753.0,97.0,753.0,97.0,0.0,,108.0,14.0,108.0,14.0,0.0,,495.0,63.0,495.0,63.0,0.0,,74.0,9.0,74.0,9.0,0.0,,76.0,10.0,76.0,10.0,0.0,
"Washington, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,500","$13,000","$8,000",$0,$0,$0,522.0,100.0,522.0,100.0,0.0,0.0,410.0,79.0,410.0,79.0,0.0,,359.0,69.0,359.0,69.0,0.0,,36.0,7.0,36.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,,15.0,3.0,15.0,3.0,0.0,
Wayne State University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$36,845","$31,000","$20,000","$29,892","$16,800","$2,000",386.0,100.0,350.0,91.0,36.0,9.0,319.0,83.0,292.0,83.0,27.0,75.0,58.0,15.0,52.0,15.0,6.0,17.0,87.0,23.0,81.0,23.0,6.0,17.0,145.0,38.0,135.0,39.0,10.0,28.0,29.0,8.0,25.0,7.0,4.0,11.0
West Virginia University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$16,000","$10,000","$5,000",$0,$0,$0,316.0,100.0,316.0,100.0,0.0,0.0,245.0,78.0,245.0,78.0,0.0,,157.0,50.0,157.0,50.0,0.0,,60.0,19.0,60.0,19.0,0.0,,23.0,7.0,23.0,7.0,0.0,,5.0,2.0,5.0,2.0,0.0,
Western New England University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,393","$30,000","$25,000","$28,000","$22,294","$15,000",336.0,100.0,228.0,68.0,108.0,32.0,275.0,82.0,191.0,84.0,84.0,78.0,72.0,21.0,45.0,20.0,27.0,25.0,180.0,54.0,135.0,59.0,45.0,42.0,23.0,7.0,11.0,5.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
"Western State, Westcliff University",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,894","$30,720","$19,720","$26,070","$20,705","$14,450",309.0,100.0,226.0,73.0,83.0,27.0,234.0,76.0,184.0,81.0,50.0,60.0,71.0,23.0,53.0,23.0,18.0,22.0,163.0,53.0,131.0,58.0,32.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Widener University Commonwealth Law School,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,000","$24,000","$14,000","$21,750","$15,000","$9,625",347.0,100.0,273.0,79.0,74.0,21.0,323.0,93.0,240.0,88.0,83.0,112.0,187.0,54.0,132.0,48.0,55.0,74.0,132.0,38.0,105.0,38.0,27.0,36.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Widener University Delaware Law School,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$32,000","$25,000","$18,000","$13,744","$9,000",658.0,100.0,520.0,79.0,138.0,21.0,663.0,101.0,506.0,97.0,157.0,114.0,340.0,52.0,202.0,39.0,138.0,100.0,322.0,49.0,299.0,58.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Willamette University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000","$20,000","$10,000","$12,500","$7,439","$3,312",332.0,100.0,332.0,100.0,0.0,0.0,270.0,81.0,270.0,81.0,0.0,,171.0,52.0,171.0,52.0,0.0,,75.0,23.0,75.0,23.0,0.0,,23.0,7.0,23.0,7.0,0.0,,1.0,0.0,1.0,0.0,0.0,
William & Mary,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,184","$25,067","$21,467",$0,$0,$0,606.0,100.0,606.0,100.0,0.0,0.0,570.0,94.0,570.0,94.0,0.0,,192.0,32.0,192.0,32.0,0.0,,352.0,58.0,352.0,58.0,0.0,,7.0,1.0,7.0,1.0,0.0,,19.0,3.0,19.0,3.0,0.0,
"Wisconsin, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,000","$29,992","$15,000",$0,$0,$0,758.0,100.0,758.0,100.0,0.0,0.0,725.0,96.0,725.0,96.0,0.0,,236.0,31.0,236.0,31.0,0.0,,398.0,53.0,398.0,53.0,0.0,,4.0,1.0,4.0,1.0,0.0,,87.0,11.0,87.0,11.0,0.0,
"Wyoming, University of",2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,126","$8,000","$4,000",$0,$0,$0,232.0,100.0,232.0,100.0,0.0,0.0,184.0,79.0,184.0,79.0,0.0,,128.0,55.0,128.0,55.0,0.0,,45.0,19.0,45.0,19.0,0.0,,1.0,0.0,1.0,0.0,0.0,,10.0,4.0,10.0,4.0,0.0,
Yale University,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,113","$32,852","$22,249",$0,$0,$0,633.0,100.0,633.0,100.0,0.0,0.0,400.0,63.0,400.0,63.0,0.0,,230.0,36.0,230.0,36.0,0.0,,123.0,19.0,123.0,19.0,0.0,,0.0,0.0,0.0,0.0,0.0,,47.0,7.0,47.0,7.0,0.0,
"Akron, The University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,000","$11,000","$4,000","$8,000","$4,000","$2,000",441.0,100.0,319.0,72.0,122.0,28.0,411.0,93.0,303.0,95.0,108.0,89.0,255.0,58.0,169.0,53.0,86.0,70.0,151.0,34.0,131.0,41.0,20.0,16.0,5.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"Alabama, The University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,080","$22,000","$13,000",$0,$0,$0,426.0,100.0,426.0,100.0,0.0,0.0,402.0,94.0,402.0,94.0,0.0,,100.0,23.0,100.0,23.0,0.0,,184.0,43.0,184.0,43.0,0.0,,24.0,6.0,24.0,6.0,0.0,,94.0,22.0,94.0,22.0,0.0,
Albany Law School,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,000","$35,000","$20,000",$0,$0,$0,605.0,100.0,605.0,100.0,0.0,0.0,562.0,93.0,562.0,93.0,0.0,,233.0,39.0,233.0,39.0,0.0,,265.0,44.0,265.0,44.0,0.0,,39.0,6.0,39.0,6.0,0.0,,25.0,4.0,25.0,4.0,0.0,
American University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,000","$40,000","$32,500","$32,000","$32,000","$25,200",1239.0,100.0,1021.0,82.0,218.0,18.0,822.0,66.0,698.0,68.0,124.0,57.0,184.0,15.0,160.0,16.0,24.0,11.0,522.0,42.0,438.0,43.0,84.0,39.0,115.0,9.0,99.0,10.0,16.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
Appalachian School of Law,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,500","$11,500","$5,000",$0,$0,$0,144.0,100.0,144.0,100.0,0.0,0.0,123.0,85.0,123.0,85.0,0.0,,54.0,38.0,54.0,38.0,0.0,,41.0,28.0,41.0,28.0,0.0,,10.0,7.0,10.0,7.0,0.0,,18.0,13.0,18.0,13.0,0.0,
Arizona State University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$6,000","$20,000","$31,664",$0,$0,$0,793.0,100.0,793.0,100.0,0.0,0.0,773.0,97.0,773.0,97.0,0.0,,374.0,47.0,374.0,47.0,0.0,,293.0,37.0,293.0,37.0,0.0,,70.0,9.0,70.0,9.0,0.0,,36.0,5.0,36.0,5.0,0.0,
"Arizona, The University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,250","$24,500","$15,250",$0,$0,$0,377.0,100.0,377.0,100.0,0.0,0.0,357.0,95.0,357.0,95.0,0.0,,45.0,12.0,45.0,12.0,0.0,,92.0,24.0,92.0,24.0,0.0,,35.0,9.0,35.0,9.0,0.0,,185.0,49.0,185.0,49.0,0.0,
"Arkansas at Little Rock, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,352","$8,383","$3,481","$7,176","$4,451","$2,337",435.0,100.0,337.0,77.0,98.0,23.0,238.0,55.0,192.0,57.0,46.0,47.0,117.0,27.0,89.0,26.0,28.0,29.0,101.0,23.0,87.0,26.0,14.0,14.0,14.0,3.0,13.0,4.0,1.0,1.0,6.0,1.0,3.0,1.0,3.0,3.0
"Arkansas, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$12,000","$9,000","$6,000",$0,$0,$0,375.0,100.0,375.0,100.0,0.0,0.0,325.0,87.0,325.0,87.0,0.0,,331.0,88.0,331.0,88.0,0.0,,160.0,43.0,160.0,43.0,0.0,,0.0,0.0,0.0,0.0,0.0,,9.0,2.0,9.0,2.0,0.0,
Atlanta's John Marshall Law School,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,000","$10,800","$3,600","$12,107","$7,811","$2,375",349.0,100.0,241.0,69.0,108.0,31.0,313.0,90.0,219.0,91.0,94.0,87.0,256.0,73.0,185.0,77.0,71.0,66.0,45.0,13.0,27.0,11.0,18.0,17.0,12.0,3.0,7.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Ave Maria School of Law,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,900","$32,000","$18,750",$0,$0,$0,297.0,100.0,297.0,100.0,0.0,0.0,200.0,67.0,200.0,67.0,0.0,,71.0,24.0,71.0,24.0,0.0,,123.0,41.0,123.0,41.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6.0,2.0,6.0,2.0,0.0,
"Baltimore, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,000","$15,000","$7,500","$20,000","$11,750","$5,000",694.0,100.0,509.0,73.0,185.0,27.0,433.0,62.0,342.0,67.0,91.0,49.0,283.0,41.0,214.0,42.0,69.0,37.0,136.0,20.0,118.0,23.0,18.0,10.0,11.0,2.0,9.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Barry University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$23,625","$16,000","$7,000","$15,000","$10,500","$2,250",797.0,100.0,625.0,78.0,172.0,22.0,634.0,80.0,515.0,82.0,119.0,69.0,453.0,57.0,362.0,58.0,91.0,53.0,179.0,22.0,151.0,24.0,28.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
Baylor University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$60,711","$33,873","$12,000",$0,$0,$0,448.0,100.0,448.0,100.0,0.0,0.0,406.0,91.0,406.0,91.0,0.0,,50.0,11.0,50.0,11.0,0.0,,224.0,50.0,224.0,50.0,0.0,,54.0,12.0,54.0,12.0,0.0,,78.0,17.0,78.0,17.0,0.0,
Belmont University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$52,370","$39,278","$26,185",$0,$0,$0,350.0,100.0,350.0,100.0,0.0,0.0,228.0,65.0,228.0,65.0,0.0,,41.0,12.0,41.0,12.0,0.0,,97.0,28.0,97.0,28.0,0.0,,90.0,26.0,90.0,26.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Boston College,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000","$24,000","$18,000",$0,$0,$0,765.0,100.0,765.0,100.0,0.0,0.0,708.0,93.0,708.0,93.0,0.0,,573.0,75.0,573.0,75.0,0.0,,127.0,17.0,127.0,17.0,0.0,,8.0,1.0,8.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Boston University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$42,000","$30,000","$21,750",$0,$0,$0,744.0,100.0,744.0,100.0,0.0,0.0,674.0,91.0,674.0,91.0,0.0,,363.0,49.0,363.0,49.0,0.0,,309.0,42.0,309.0,42.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,
Brigham Young University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,598","$15,076","$5,000",$0,$0,$0,369.0,100.0,369.0,100.0,0.0,0.0,366.0,99.0,366.0,99.0,0.0,,142.0,38.0,142.0,38.0,0.0,,44.0,12.0,44.0,12.0,0.0,,73.0,20.0,73.0,20.0,0.0,,107.0,29.0,107.0,29.0,0.0,
Brooklyn Law School,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$51,000","$34,000","$17,000","$40,000","$25,500","$13,000",1167.0,100.0,1084.0,93.0,83.0,7.0,1072.0,92.0,990.0,91.0,82.0,99.0,528.0,45.0,487.0,45.0,41.0,49.0,510.0,44.0,469.0,43.0,41.0,49.0,28.0,2.0,28.0,3.0,0.0,0.0,6.0,1.0,6.0,1.0,0.0,0.0
"Buffalo, University at",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$18,000","$12,000","$6,801",$0,$0,$0,434.0,100.0,434.0,100.0,0.0,0.0,267.0,62.0,267.0,62.0,0.0,,159.0,37.0,159.0,37.0,0.0,,87.0,20.0,87.0,20.0,0.0,,0.0,0.0,0.0,0.0,0.0,,21.0,5.0,21.0,5.0,0.0,
California Western School of Law,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,224","$30,688","$15,070","$34,048","$26,608","$13,304",663.0,100.0,579.0,87.0,84.0,13.0,419.0,63.0,372.0,64.0,47.0,56.0,197.0,30.0,173.0,30.0,24.0,29.0,146.0,22.0,133.0,23.0,13.0,15.0,76.0,11.0,66.0,11.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
"California-Berkeley, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$37,240","$29,372","$11,514",$0,$0,$0,1043.0,100.0,1043.0,100.0,0.0,0.0,982.0,94.0,982.0,94.0,0.0,,509.0,49.0,509.0,49.0,0.0,,403.0,39.0,403.0,39.0,0.0,,0.0,0.0,0.0,0.0,0.0,,70.0,7.0,70.0,7.0,0.0,
"California-Davis, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$39,000","$29,000","$15,250",$0,$0,$0,658.0,100.0,658.0,100.0,0.0,0.0,618.0,94.0,618.0,94.0,0.0,,313.0,48.0,313.0,48.0,0.0,,299.0,45.0,299.0,45.0,0.0,,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,6.0,1.0,0.0,
"California-Irvine, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$30,000","$20,000",$0,$0,$0,473.0,100.0,473.0,100.0,0.0,0.0,453.0,96.0,453.0,96.0,0.0,,218.0,46.0,218.0,46.0,0.0,,235.0,50.0,235.0,50.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
"California-Los Angeles, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$38,584","$21,710","$15,000",$0,$0,$0,1034.0,100.0,1034.0,100.0,0.0,0.0,882.0,85.0,882.0,85.0,0.0,,566.0,55.0,566.0,55.0,0.0,,239.0,23.0,239.0,23.0,0.0,,42.0,4.0,42.0,4.0,0.0,,35.0,3.0,35.0,3.0,0.0,
"California-San Francisco, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$25,000","$18,377","$10,000",$0,$0,$0,1116.0,100.0,1116.0,100.0,0.0,0.0,944.0,85.0,944.0,85.0,0.0,,755.0,68.0,755.0,68.0,0.0,,179.0,16.0,179.0,16.0,0.0,,0.0,0.0,0.0,0.0,0.0,,10.0,1.0,10.0,1.0,0.0,
Campbell University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$29,400","$20,000","$13,750",$0,$0,$0,562.0,100.0,562.0,100.0,0.0,0.0,555.0,99.0,555.0,99.0,0.0,,325.0,58.0,325.0,58.0,0.0,,228.0,41.0,228.0,41.0,0.0,,1.0,0.0,1.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,
Capital University Law School,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,000","$20,075","$12,000","$22,875","$12,000","$7,038",455.0,100.0,359.0,79.0,96.0,21.0,443.0,97.0,340.0,95.0,103.0,107.0,235.0,52.0,176.0,49.0,59.0,61.0,200.0,44.0,158.0,44.0,42.0,44.0,2.0,0.0,2.0,1.0,0.0,0.0,6.0,1.0,4.0,1.0,2.0,2.0
"Cardozo, Yeshiva University",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000","$40,000","$25,000",$0,$0,$0,939.0,100.0,939.0,100.0,0.0,0.0,921.0,98.0,921.0,98.0,0.0,,329.0,35.0,329.0,35.0,0.0,,553.0,59.0,553.0,59.0,0.0,,19.0,2.0,19.0,2.0,0.0,,15.0,2.0,15.0,2.0,0.0,
Case Western Reserve University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$48,640","$44,000","$33,500",$0,$0,$0,480.0,100.0,479.0,100.0,1.0,0.0,461.0,96.0,461.0,96.0,0.0,0.0,85.0,18.0,85.0,18.0,0.0,0.0,376.0,78.0,376.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Catholic University of America, The",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$44,451","$28,608","$15,000","$34,767","$23,610","$7,500",390.0,100.0,283.0,73.0,107.0,27.0,382.0,98.0,260.0,92.0,122.0,114.0,187.0,48.0,131.0,46.0,56.0,52.0,195.0,50.0,129.0,46.0,66.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapman University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$61,286","$57,000","$35,000","$45,125","$40,000","$20,000",423.0,100.0,423.0,100.0,0.0,0.0,246.0,58.0,246.0,58.0,0.0,,61.0,14.0,61.0,14.0,0.0,,103.0,24.0,103.0,24.0,0.0,,23.0,5.0,23.0,5.0,0.0,,59.0,14.0,59.0,14.0,0.0,
Charleston School of Law,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$28,000","$19,000","$12,000",$0,$0,$0,704.0,100.0,704.0,100.0,0.0,0.0,636.0,90.0,636.0,90.0,0.0,,388.0,55.0,388.0,55.0,0.0,,248.0,35.0,248.0,35.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
"Chicago, The University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$27,875","$15,000","$10,000",$0,$0,$0,594.0,100.0,594.0,100.0,0.0,0.0,491.0,83.0,491.0,83.0,0.0,,399.0,67.0,399.0,67.0,0.0,,38.0,6.0,38.0,6.0,0.0,,0.0,0.0,0.0,0.0,0.0,,54.0,9.0,54.0,9.0,0.0,
"Chicago-Kent, Illinois Institute of Technology",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$43,250","$35,000","$22,250","$33,750","$22,500","$14,950",710.0,100.0,630.0,89.0,80.0,11.0,668.0,94.0,594.0,94.0,74.0,93.0,220.0,31.0,186.0,30.0,34.0,43.0,410.0,58.0,382.0,61.0,28.0,35.0,98.0,14.0,87.0,14.0,11.0,14.0,34.0,5.0,34.0,5.0,0.0,0.0
"Cincinnati, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,600","$19,300","$12,500",$0,$0,$0,387.0,100.0,387.0,100.0,0.0,0.0,373.0,96.0,373.0,96.0,0.0,,96.0,25.0,96.0,25.0,0.0,,231.0,60.0,231.0,60.0,0.0,,46.0,12.0,46.0,12.0,0.0,,0.0,0.0,0.0,0.0,0.0,
"City University of New York, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$8,000","$8,000","$8,000","$6,000","$6,000","$6,000",674.0,100.0,462.0,69.0,212.0,31.0,113.0,17.0,74.0,16.0,39.0,18.0,76.0,11.0,73.0,16.0,3.0,1.0,36.0,5.0,1.0,0.0,35.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland State University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$24,665","$18,310","$6,775","$15,313","$6,262","$2,738",420.0,100.0,314.0,75.0,106.0,25.0,352.0,84.0,288.0,92.0,64.0,60.0,192.0,46.0,145.0,46.0,47.0,44.0,173.0,41.0,143.0,46.0,30.0,28.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Colorado, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$26,161","$12,800","$10,000",$0,$0,$0,491.0,100.0,491.0,100.0,0.0,0.0,429.0,87.0,429.0,87.0,0.0,,294.0,60.0,294.0,60.0,0.0,,115.0,23.0,115.0,23.0,0.0,,0.0,0.0,0.0,0.0,0.0,,20.0,4.0,20.0,4.0,0.0,
Columbia University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$50,000","$30,000","$19,000",$0,$0,$0,1410.0,100.0,1410.0,100.0,0.0,0.0,814.0,58.0,814.0,58.0,0.0,,496.0,35.0,496.0,35.0,0.0,,242.0,17.0,242.0,17.0,0.0,,69.0,5.0,69.0,5.0,0.0,,7.0,0.0,7.0,0.0,0.0,
"Connecticut, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,000","$15,177","$10,000","$13,038","$10,000","$5,000",473.0,100.0,387.0,82.0,86.0,18.0,441.0,93.0,367.0,95.0,74.0,86.0,304.0,64.0,255.0,66.0,49.0,57.0,129.0,27.0,108.0,28.0,21.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,1.0,4.0,5.0
Cooley Law School,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$22,572","$14,250","$9,120","$11,880","$7,600","$4,943",481.0,100.0,149.0,31.0,332.0,69.0,266.0,55.0,90.0,60.0,176.0,53.0,194.0,40.0,66.0,44.0,128.0,39.0,60.0,12.0,22.0,15.0,38.0,11.0,11.0,2.0,2.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Cornell University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$45,000","$30,000","$25,000",$0,$0,$0,586.0,100.0,586.0,100.0,0.0,0.0,514.0,88.0,514.0,88.0,0.0,,354.0,60.0,354.0,60.0,0.0,,151.0,26.0,151.0,26.0,0.0,,9.0,2.0,9.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,
Creighton University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,134","$23,000","$12,840",$0,$0,$0,385.0,100.0,385.0,100.0,0.0,0.0,310.0,81.0,310.0,81.0,0.0,,146.0,38.0,146.0,38.0,0.0,,112.0,29.0,112.0,29.0,0.0,,51.0,13.0,51.0,13.0,0.0,,1.0,0.0,1.0,0.0,0.0,
"Dayton, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$33,000","$26,000","$21,816","$19,091","$13,634",377.0,100.0,236.0,63.0,141.0,37.0,370.0,98.0,226.0,96.0,144.0,102.0,52.0,14.0,21.0,9.0,31.0,22.0,292.0,77.0,179.0,76.0,113.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.0,26.0,11.0,0.0,0.0
"Denver, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$40,000","$30,000","$22,000","$30,000","$22,500","$16,500",840.0,100.0,683.0,81.0,157.0,19.0,629.0,75.0,513.0,75.0,116.0,74.0,289.0,34.0,239.0,35.0,50.0,32.0,250.0,30.0,197.0,29.0,53.0,34.0,68.0,8.0,56.0,8.0,12.0,8.0,22.0,3.0,21.0,3.0,1.0,1.0
DePaul University,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$35,000","$30,000","$21,800","$20,000","$15,000","$10,000",531.0,100.0,445.0,84.0,86.0,16.0,523.0,98.0,440.0,99.0,83.0,97.0,195.0,37.0,146.0,33.0,49.0,57.0,321.0,60.0,287.0,64.0,34.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,2.0,0.0,0.0
"Detroit Mercy, University of",2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$31,984","$20,343","$9,318","$23,632","$14,948","$9,272",619.0,100.0,592.0,96.0,27.0,4.0,345.0,56.0,324.0,55.0,21.0,78.0,171.0,28.0,162.0,27.0,9.0,33.0,142.0,23.0,133.0,22.0,9.0,33.0,24.0,4.0,22.0,4.0,2.0,7.0,7.0,1.0,7.0,1.0,0.0,0.0
