SchoolName,SchoolYear,Total # total  students #,Total # total of Students %,Total # of students FT #,Total # of students FT %,Total # of students PT #,Total # of students PT %,Total  # receiving grants total #,Total # receiving grants total %,Total # receiving grants FT #,Total # receiving grants FT %,Total # receiving grants PT #,Total # receiving grants PT %,Less than half tuition total #,Less than half tuition total %,Less than half tuition FT #,Less than half tuition FT %,Less than half tuition PT #,Less than half tuition PT %,Half to full tuition total #,Half to full tuition total %,half to full tuition FT #,half to full tuition FT %,half to full tuition PT #,half to full tuition PT %,Full tuition total #,Full tuition total %,Full tuition FT #,Full tuition FT %,Full tuition PT #,Full tuition PT %,More than full tuition total #,More than full tuition total %,More than full tuition FT #,More than full tuition FT %,More than full tuition PT #,More than full tuition PT %,FT 75th percentile grant amount,FT 50th percentile grant amount,FT 25th percentile grant amount,PT 75th percentile grant amount,PT 50th percentile grant amount,PT 25th percentile grant amount,Total Number # of Students Total #,Total Percentage # of Students Total %,Total Number # of Students FT #,Total Percentage # of Students FT %,Total Number # of Students PT #,Total Percentage # of Students PT %,Total Number # of Recieving Grants Total #,Total Percentage # of Recieving Grants Total %,Total Number # of Recieving Grants FT #,Total Percentage # of Recieving Grants FT %,Total Number # of Recieving Grants PT #,Total Percentage # of Recieving Grants PT %,Less than half tuition Total Number #,Less than half tuition Total Percentage %,Less than half tuition FT Number #,Less than half tuition FT Percentage %,Less than half tuition PT Number #,Less than half tuition PT Percentage %,Half to full tuition total Number #,Half to full tuition total Percentage %,Half to full tuition FT Number #,Half to full tuition FT Percentage %,Half to full tuition PT Number #,Half to full tuition PT Percentage %,Full tuition total Number #,Full tuition total Percentage %,Full tuition FT Number #,Full tuition FT Percentage %,Full tuition PT Number #,Full tuition PT Percentage %,More than full tuition total Number #,More than full tuition total Percentage %,More than full tuition FT Number #,More than full tuition FT Percentage %,More than full tuition PT Number #,More than full tuition PT Percentage %
"CALIFORNIA-BERKELEY, UNIVERSITY OF",2022,1093.0,100.0,1093.0,100.0,0.0,0.0,939.0,86.0,939.0,86.0,0.0,0.0,622.0,57.0,622.0,57.0,0.0,0.0,288.0,26.0,288.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,29.0,3.0,0.0,0.0,"30,000","25,000","7,032",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-DAVIS, UNIVERSITY OF",2022,670.0,100.0,670.0,100.0,0.0,0.0,421.0,63.0,421.0,63.0,0.0,0.0,220.0,33.0,220.0,33.0,0.0,0.0,185.0,28.0,185.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,16.0,2.0,0.0,0.0,"42,500","25,000","12,500",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-IRVINE, UNIVERSITY OF",2022,443.0,100.0,443.0,100.0,0.0,0.0,433.0,98.0,433.0,98.0,0.0,0.0,142.0,32.0,142.0,32.0,0.0,0.0,277.0,63.0,277.0,63.0,0.0,0.0,14.0,3.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35,000","25,000","20,000",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",2022,1038.0,100.0,1038.0,100.0,0.0,0.0,878.0,85.0,878.0,85.0,0.0,0.0,611.0,59.0,611.0,59.0,0.0,0.0,208.0,20.0,208.0,20.0,0.0,0.0,39.0,4.0,39.0,4.0,0.0,0.0,20.0,2.0,20.0,2.0,0.0,0.0,"30,000","20,000","11,667",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPBELL UNIVERSITY,2022,530.0,100.0,530.0,100.0,0.0,0.0,528.0,100.0,528.0,100.0,0.0,0.0,390.0,74.0,390.0,74.0,0.0,0.0,127.0,24.0,127.0,24.0,0.0,0.0,11.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"23,750","15,000","11,250",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPITAL UNIVERSITY,2022,480.0,100.0,364.0,76.0,116.0,24.0,460.0,96.0,353.0,97.0,107.0,92.0,248.0,52.0,173.0,48.0,75.0,65.0,168.0,35.0,140.0,38.0,28.0,24.0,41.0,9.0,38.0,10.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,"28,000","19,000","12,000","17,687","11,000","6,075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARDOZO SCHOOL OF LAW,2022,939.0,100.0,888.0,95.0,51.0,5.0,902.0,96.0,850.0,96.0,52.0,102.0,372.0,40.0,339.0,38.0,33.0,65.0,504.0,54.0,485.0,55.0,19.0,37.0,26.0,3.0,26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"50,000","35,000","25,000","35,000","30,000","10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASE WESTERN RESERVE UNIVERSITY,2022,402.0,100.0,402.0,100.0,0.0,0.0,384.0,96.0,384.0,96.0,0.0,0.0,61.0,15.0,61.0,15.0,0.0,0.0,322.0,80.0,322.0,80.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"45,278","40,000","30,871",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CATHOLIC UNIVERSITY OF AMERICA,2022,408.0,100.0,283.0,69.0,125.0,31.0,404.0,99.0,266.0,94.0,138.0,110.0,182.0,45.0,120.0,42.0,62.0,50.0,118.0,29.0,71.0,25.0,47.0,38.0,102.0,25.0,73.0,26.0,29.0,23.0,2.0,0.0,2.0,1.0,0.0,0.0,"54,450","29,450","12,500","31,120","20,625","8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHAPMAN UNIVERSITY,2022,458.0,100.0,458.0,100.0,0.0,0.0,248.0,54.0,236.0,52.0,12.0,0.0,38.0,8.0,33.0,7.0,5.0,0.0,149.0,33.0,142.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,13.0,61.0,13.0,0.0,0.0,"64,718","54,718","35,000","40,000","28,750","15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
