School Name,SchoolYear,Graduate Year,No. of Graduates,No. of Takers,No. of Passers,%Passers,No. of Graduates with no information,No. of Graduates who did not take the bar,No. of Graduates with Alternative Pathways*,Pass % (including Alternative Pathways),2020 Graduates,2020 Takers,2020 Passers,2020 Graduates with no information,2020 Graduates who did not take the bar,2020 Graduates with Diploma Privilege*,Pass % (including Diploma Privilege),2021 Graduates,2021 Takers,2021 Passers,2021 Graduates with no information,2021 Graduates who did not take the bar,2021 Graduates with Alternative Pathways*,2022 Graduates,2022 Takers,2022 Passers,2022 Graduates with no information,2022 Graduates who did not take the bar,2022 Graduates with Alternative Pathways*
"AKRON, UNIVERSITY OF",2022,2019.0,129.0,119.0,101.0,84.87%,0.0,10.0,0.0,84.87%,,,,,,,,,,,,,,,,,,,
"ALABAMA, UNIVERSITY OF",2022,2019.0,131.0,127.0,126.0,99.21%,0.0,4.0,0.0,99.21%,,,,,,,,,,,,,,,,,,,
ALBANY LAW SCHOOL,2022,2019.0,139.0,136.0,117.0,86.03%,3.0,3.0,,86.03%,,,,,,,,,,,,,,,,,,,
AMERICAN UNIVERSITY,2022,2019.0,400.0,378.0,342.0,90.48%,20.0,2.0,0.0,90.48%,,,,,,,,,,,,,,,,,,,
APPALACHIAN SCHOOL OF LAW,2022,2019.0,47.0,45.0,33.0,73.33%,0.0,2.0,0.0,73.33%,,,,,,,,,,,,,,,,,,,
ARIZONA STATE UNIVERSITY,2022,2019.0,278.0,270.0,256.0,94.81%,2.0,6.0,0.0,94.81%,,,,,,,,,,,,,,,,,,,
"ARIZONA, UNIVERSITY OF",2022,2019.0,119.0,111.0,103.0,92.79%,0.0,8.0,0.0,92.79%,,,,,,,,,,,,,,,,,,,
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",2022,2019.0,105.0,100.0,90.0,90.00%,0.0,5.0,0.0,90.00%,,,,,,,,,,,,,,,,,,,
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",2022,2019.0,121.0,115.0,98.0,85.22%,0.0,6.0,0.0,85.22%,,,,,,,,,,,,,,,,,,,
ATLANTA'S JOHN MARSHALL LAW SCHOOL,2022,2019.0,143.0,137.0,112.0,81.75%,1.0,5.0,0.0,81.75%,,,,,,,,,,,,,,,,,,,
AVE MARIA SCHOOL OF LAW,2022,2019.0,64.0,61.0,41.0,67.21%,0.0,3.0,0.0,67.21%,,,,,,,,,,,,,,,,,,,
"BALTIMORE, UNIVERSITY OF",2022,2019.0,194.0,183.0,155.0,84.70%,6.0,5.0,0.0,84.70%,,,,,,,,,,,,,,,,,,,
BARRY UNIVERSITY,2022,2019.0,174.0,162.0,132.0,81.48%,3.0,9.0,0.0,81.48%,,,,,,,,,,,,,,,,,,,
BAYLOR UNIVERSITY,2022,2019.0,141.0,141.0,140.0,99.29%,0.0,0.0,0.0,99.29%,,,,,,,,,,,,,,,,,,,
BELMONT UNIVERSITY,2022,2019.0,84.0,84.0,84.0,100.00%,0.0,0.0,0.0,100.00%,,,,,,,,,,,,,,,,,,,
BOSTON COLLEGE,2022,2019.0,250.0,250.0,243.0,97.20%,0.0,1.0,0.0,97.20%,,,,,,,,,,,,,,,,,,,
BOSTON UNIVERSITY,2022,2019.0,254.0,251.0,245.0,97.61%,,3.0,,97.61%,,,,,,,,,,,,,,,,,,,
BRIGHAM YOUNG UNIVERSITY,2022,2019.0,137.0,129.0,123.0,95.35%,0.0,7.0,1.0,95.38%,,,,,,,,,,,,,,,,,,,
BROOKLYN LAW SCHOOL,2022,2019.0,328.0,319.0,296.0,92.79%,1.0,8.0,1.0,92.81%,,,,,,,,,,,,,,,,,,,
CALIFORNIA WESTERN SCHOOL OF LAW,2022,2019.0,216.0,212.0,166.0,78.30%,0.0,4.0,0.0,78.30%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-BERKELEY, UNIVERSITY OF",2022,2019.0,330.0,323.0,322.0,99.69%,6.0,6.0,1.0,99.69%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-DAVIS, UNIVERSITY OF",2022,2019.0,155.0,148.0,139.0,93.92%,3.0,4.0,0.0,93.92%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-IRVINE, UNIVERSITY OF",2022,2019.0,143.0,140.0,137.0,97.86%,0.0,3.0,0.0,97.86%,,,,,,,,,,,,,,,,,,,
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",2022,2019.0,316.0,313.0,307.0,98.08%,1.0,2.0,1.0,98.09%,,,,,,,,,,,,,,,,,,,
CAMPBELL UNIVERSITY,2022,2019.0,112.0,107.0,105.0,98.13%,0.0,5.0,0.0,98.13%,,,,,,,,,,,,,,,,,,,
CAPITAL UNIVERSITY,2022,2019.0,100.0,96.0,87.0,90.63%,1.0,3.0,0.0,90.63%,,,,,,,,,,,,,,,,,,,
CARDOZO SCHOOL OF LAW,2022,2019.0,282.0,278.0,267.0,96.04%,1.0,3.0,0.0,96.04%,,,,,,,,,,,,,,,,,,,
CASE WESTERN RESERVE UNIVERSITY,2022,2019.0,143.0,135.0,126.0,93.33%,0.0,8.0,0.0,93.33%,,,,,,,,,,,,,,,,,,,
CATHOLIC UNIVERSITY OF AMERICA,2022,2019.0,104.0,98.0,89.0,90.82%,2.0,4.0,2.0,91.00%,,,,,,,,,,,,,,,,,,,
CHAPMAN UNIVERSITY,2022,2019.0,165.0,165.0,145.0,87.88%,0.0,0.0,0.0,87.88%,,,,,,,,,,,,,,,,,,,
CHARLESTON SCHOOL OF LAW,2022,2019.0,186.0,181.0,150.0,82.87%,1.0,4.0,0.0,82.87%,,,,,,,,,,,,,,,,,,,
"CHICAGO, UNIVERSITY OF",2022,2019.0,203.0,198.0,197.0,99.49%,0.0,5.0,0.0,99.49%,,,,,,,,,,,,,,,,,,,
CHICAGO-KENT COLLEGE OF LAW-IIT,2022,2019.0,235.0,218.0,197.0,90.37%,16.0,1.0,0.0,90.37%,,,,,,,,,,,,,,,,,,,
"CINCINNATI, UNIVERSITY OF",2022,2019.0,118.0,114.0,101.0,88.60%,0.0,4.0,0.0,88.60%,,,,,,,,,,,,,,,,,,,
CITY UNIVERSITY OF NEW YORK,2022,2019.0,168.0,163.0,153.0,93.87%,0.0,5.0,0.0,93.87%,,,,,,,,,,,,,,,,,,,
CLEVELAND STATE UNIVERSITY,2022,2019.0,90.0,85.0,78.0,91.76%,0.0,5.0,0.0,91.76%,,,,,,,,,,,,,,,,,,,
"COLORADO, UNIVERSITY OF",2022,2019.0,154.0,148.0,142.0,95.95%,0.0,6.0,4.0,96.05%,,,,,,,,,,,,,,,,,,,
COLUMBIA UNIVERSITY,2022,2019.0,433.0,430.0,411.0,95.58%,0.0,3.0,0.0,95.58%,,,,,,,,,,,,,,,,,,,
"CONNECTICUT, UNIVERSITY OF",2022,2019.0,105.0,102.0,95.0,93.14%,0.0,3.0,0.0,93.14%,,,,,,,,,,,,,,,,,,,
CORNELL UNIVERSITY,2022,2019.0,194.0,193.0,189.0,97.93%,0.0,1.0,0.0,97.93%,,,,,,,,,,,,,,,,,,,
CREIGHTON UNIVERSITY,2022,2019.0,88.0,81.0,70.0,86.42%,1.0,6.0,0.0,86.42%,,,,,,,,,,,,,,,,,,,
"DAYTON, UNIVERSITY OF",2022,2019.0,85.0,84.0,79.0,94.05%,0.0,1.0,0.0,94.05%,,,,,,,,,,,,,,,,,,,
"DENVER, UNIVERSITY OF",2022,2019.0,244.0,240.0,223.0,92.92%,1.0,3.0,0.0,92.92%,,,,,,,,,,,,,,,,,,,
DEPAUL UNIVERSITY,2022,2019.0,212.0,203.0,165.0,81.28%,9.0,0.0,0.0,81.28%,,,,,,,,,,,,,,,,,,,
"DETROIT MERCY, UNIVERSITY OF",2022,2019.0,176.0,100.0,83.0,83.00%,0.0,76.0,0.0,83.00%,,,,,,,,,,,,,,,,,,,
DISTRICT OF COLUMBIA,2022,2019.0,66.0,57.0,38.0,66.67%,,9.0,1.0,67.24%,,,,,,,,,,,,,,,,,,,
DRAKE UNIVERSITY,2022,2019.0,100.0,99.0,89.0,89.90%,0.0,1.0,0.0,89.90%,,,,,,,,,,,,,,,,,,,
DREXEL UNIVERSITY,2022,2019.0,131.0,128.0,113.0,88.28%,1.0,2.0,,88.28%,,,,,,,,,,,,,,,,,,,
DUKE UNIVERSITY,2022,2019.0,225.0,217.0,216.0,99.54%,2.0,6.0,0.0,99.54%,,,,,,,,,,,,,,,,,,,
DUQUESNE UNIVERSITY,2022,2019.0,108.0,104.0,96.0,92.31%,4.0,0.0,0.0,92.31%,,,,,,,,,,,,,,,,,,,
ELON UNIVERSITY,2022,2019.0,109.0,104.0,92.0,88.46%,0.0,5.0,0.0,88.46%,,,,,,,,,,,,,,,,,,,
EMORY UNIVERSITY,2022,2019.0,306.0,286.0,248.0,86.71%,3.0,17.0,0.0,86.71%,,,,,,,,,,,,,,,,,,,
FAULKNER UNIVERSITY,2022,2019.0,62.0,59.0,51.0,86.44%,0.0,3.0,0.0,86.44%,,,,,,,,,,,,,,,,,,,
FLORIDA A&M UNIVERSITY,2022,2019.0,143.0,128.0,101.0,78.91%,6.0,9.0,0.0,78.91%,,,,,,,,,,,,,,,,,,,
FLORIDA INTERNATIONAL UNIVERSITY,2022,2019.0,144.0,141.0,137.0,97.16%,0.0,3.0,0.0,97.16%,,,,,,,,,,,,,,,,,,,
FLORIDA STATE UNIVERSITY,2022,2019.0,176.0,170.0,163.0,95.88%,3.0,3.0,0.0,95.88%,,,,,,,,,,,,,,,,,,,
"FLORIDA, UNIVERSITY OF",2022,2019.0,329.0,323.0,316.0,97.83%,0.0,6.0,0.0,97.83%,,,,,,,,,,,,,,,,,,,
FORDHAM UNIVERSITY,2022,2019.0,382.0,365.0,353.0,96.71%,0.0,17.0,0.0,96.71%,,,,,,,,,,,,,,,,,,,
GEORGE MASON UNIVERSITY,2022,2019.0,164.0,156.0,155.0,99.36%,1.0,7.0,0.0,99.36%,,,,,,,,,,,,,,,,,,,
GEORGE WASHINGTON UNIVERSITY,2022,2019.0,502.0,485.0,463.0,95.46%,14.0,6.0,0.0,95.46%,,,,,,,,,,,,,,,,,,,
GEORGETOWN UNIVERSITY,2022,2019.0,668.0,644.0,621.0,96.43%,15.0,9.0,0.0,96.43%,,,,,,,,,,,,,,,,,,,
GEORGIA STATE UNIVERSITY,2022,2019.0,196.0,186.0,182.0,97.85%,0.0,10.0,0.0,97.85%,,,,,,,,,,,,,,,,,,,
"GEORGIA, UNIVERSITY OF",2022,2019.0,185.0,180.0,174.0,96.67%,0.0,5.0,1.0,96.69%,,,,,,,,,,,,,,,,,,,
GOLDEN GATE UNIVERSITY,2022,2019.0,107.0,99.0,66.0,66.67%,0.0,8.0,1.0,67.00%,,,,,,,,,,,,,,,,,,,
GONZAGA UNIVERSITY,2022,2019.0,109.0,107.0,92.0,85.98%,0.0,1.0,10.0,87.18%,,,,,,,,,,,,,,,,,,,
HARVARD UNIVERSITY,2022,2019.0,599.0,561.0,557.0,99.29%,23.0,15.0,1.0,99.29%,,,,,,,,,,,,,,,,,,,
"HAWAII, UNIVERSITY OF",2022,2019.0,88.0,82.0,69.0,84.15%,6.0,0.0,,84.15%,,,,,,,,,,,,,,,,,,,
HOFSTRA UNIVERSITY,2022,2019.0,211.0,203.0,163.0,80.30%,0.0,8.0,0.0,80.30%,,,,,,,,,,,,,,,,,,,
"HOUSTON, UNIVERSITY OF",2022,2019.0,230.0,223.0,205.0,91.93%,1.0,6.0,0.0,91.93%,,,,,,,,,,,,,,,,,,,
HOWARD UNIVERSITY,2022,2019.0,131.0,127.0,106.0,83.46%,0.0,4.0,0.0,83.46%,,,,,,,,,,,,,,,,,,,
"IDAHO, UNIVERSITY OF",2022,2019.0,101.0,96.0,81.0,84.38%,3.0,2.0,2.0,84.69%,,,,,,,,,,,,,,,,,,,
"ILLINOIS, UNIVERSITY OF",2022,2019.0,126.0,122.0,118.0,96.72%,0.0,4.0,0.0,96.72%,,,,,,,,,,,,,,,,,,,
INDIANA UNIVERSITY - BLOOMINGTON,2022,2019.0,180.0,174.0,163.0,93.68%,0.0,6.0,1.0,93.71%,,,,,,,,,,,,,,,,,,,
INDIANA UNIVERSITY - INDIANAPOLIS,2022,2019.0,252.0,238.0,207.0,86.97%,4.0,10.0,0.0,86.97%,,,,,,,,,,,,,,,,,,,
INTER AMERICAN UNIVERSITY OF PUERTO RICO,2022,2019.0,170.0,150.0,90.0,60.00%,0.0,20.0,0.0,60.00%,,,,,,,,,,,,,,,,,,,
"IOWA, UNIVERSITY OF",2022,2019.0,141.0,138.0,131.0,94.93%,0.0,3.0,0.0,94.93%,,,,,,,,,,,,,,,,,,,
"KANSAS, UNIVERSITY OF",2022,2019.0,98.0,94.0,90.0,95.74%,2.0,2.0,0.0,95.74%,,,,,,,,,,,,,,,,,,,
"KENTUCKY, UNIVERSITY OF",2022,2019.0,168.0,164.0,155.0,94.51%,0.0,5.0,0.0,94.51%,,,,,,,,,,,,,,,,,,,
LEWIS AND CLARK COLLEGE,2022,2019.0,175.0,157.0,148.0,94.27%,0.0,18.0,1.0,94.30%,,,,,,,,,,,,,,,,,,,
LIBERTY UNIVERSITY,2022,2019.0,51.0,51.0,50.0,98.04%,0.0,0.0,0.0,98.04%,,,,,,,,,,,,,,,,,,,
LINCOLN MEMORIAL,2022,2019.0,70.0,69.0,65.0,94.20%,0.0,1.0,0.0,94.20%,,,,,,,,,,,,,,,,,,,
LOUISIANA STATE UNIVERSITY,2022,2019.0,177.0,173.0,159.0,91.91%,0.0,4.0,0.0,91.91%,,,,,,,,,,,,,,,,,,,
"LOUISVILLE, UNIVERSITY OF",2022,2019.0,111.0,104.0,94.0,90.38%,4.0,3.0,0.0,90.38%,,,,,,,,,,,,,,,,,,,
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,2022,2019.0,320.0,314.0,298.0,94.90%,0.0,6.0,,94.90%,,,,,,,,,,,,,,,,,,,
LOYOLA UNIVERSITY-CHICAGO,2022,2019.0,197.0,190.0,178.0,93.68%,4.0,3.0,0.0,93.68%,,,,,,,,,,,,,,,,,,,
LOYOLA UNIVERSITY-NEW ORLEANS,2022,2019.0,145.0,137.0,120.0,87.59%,0.0,8.0,4.0,87.94%,,,,,,,,,,,,,,,,,,,
"MAINE, UNIVERSITY OF",2022,2019.0,76.0,70.0,59.0,84.29%,0.0,6.0,0.0,84.29%,,,,,,,,,,,,,,,,,,,
MARQUETTE UNIVERSITY,2022,2019.0,181.0,2.0,2.0,100.00%,0.0,179.0,177.0,100.00%,,,,,,,,,,,,,,,,,,,
"MARYLAND, UNIVERSITY OF",2022,2019.0,187.0,180.0,170.0,94.44%,6.0,1.0,0.0,94.44%,,,,,,,,,,,,,,,,,,,
MCGEORGE SCHOOL OF LAW,2022,2019.0,164.0,161.0,141.0,87.58%,2.0,1.0,0.0,87.58%,,,,,,,,,,,,,,,,,,,
"MEMPHIS, UNIVERSITY OF",2022,2019.0,92.0,91.0,81.0,89.01%,0.0,1.0,0.0,89.01%,,,,,,,,,,,,,,,,,,,
MERCER UNIVERSITY,2022,2019.0,130.0,127.0,117.0,92.13%,0.0,3.0,0.0,92.13%,,,,,,,,,,,,,,,,,,,
"MIAMI, UNIVERSITY OF",2022,2019.0,343.0,324.0,295.0,91.05%,0.0,19.0,0.0,91.05%,,,,,,,,,,,,,,,,,,,
MICHIGAN STATE UNIVERSITY,2022,2019.0,236.0,216.0,187.0,86.57%,0.0,20.0,0.0,86.57%,,,,,,,,,,,,,,,,,,,
"MICHIGAN, UNIVERSITY OF",2022,2019.0,314.0,302.0,297.0,98.34%,8.0,4.0,0.0,98.34%,,,,,,,,,,,,,,,,,,,
"MINNESOTA, UNIVERSITY OF",2022,2019.0,161.0,153.0,151.0,98.69%,0.0,8.0,0.0,98.69%,,,,,,,,,,,,,,,,,,,
MISSISSIPPI COLLEGE,2022,2019.0,111.0,102.0,80.0,78.43%,0.0,9.0,0.0,78.43%,,,,,,,,,,,,,,,,,,,
"MISSISSIPPI, UNIVERSITY OF",2022,2019.0,98.0,94.0,87.0,92.55%,0.0,4.0,0.0,92.55%,,,,,,,,,,,,,,,,,,,
"MISSOURI, UNIVERSITY OF",2022,2019.0,90.0,89.0,83.0,93.26%,0.0,2.0,0.0,93.26%,,,,,,,,,,,,,,,,,,,
"MISSOURI-KANSAS CITY, UNIVERSITY OF",2022,2019.0,126.0,124.0,116.0,93.55%,0.0,2.0,0.0,93.55%,,,,,,,,,,,,,,,,,,,
MITCHELL|HAMLINE,2022,2019.0,297.0,283.0,239.0,84.45%,12.0,2.0,1.0,84.51%,,,,,,,,,,,,,,,,,,,
"MONTANA, UNIVERSITY OF",2022,2019.0,70.0,69.0,66.0,95.65%,0.0,1.0,0.0,95.65%,,,,,,,,,,,,,,,,,,,
"NEBRASKA, UNIVERSITY OF",2022,2019.0,117.0,116.0,111.0,95.69%,0.0,1.0,0.0,95.69%,,,,,,,,,,,,,,,,,,,
NEW ENGLAND LAW | BOSTON,2022,2019.0,146.0,136.0,126.0,92.65%,0.0,10.0,0.0,92.65%,,,,,,,,,,,,,,,,,,,
NEW HAMPSHIRE UNIVERSITY OF,2022,2019.0,63.0,63.0,59.0,93.65%,0.0,0.0,0.0,93.65%,,,,,,,,,,,,,,,,,,,
"NEW MEXICO, UNIVERSITY OF",2022,2019.0,114.0,108.0,104.0,96.30%,2.0,4.0,0.0,96.30%,,,,,,,,,,,,,,,,,,,
NEW YORK LAW SCHOOL,2022,2019.0,272.0,269.0,241.0,89.59%,3.0,0.0,0.0,89.59%,,,,,,,,,,,,,,,,,,,
NEW YORK UNIVERSITY,2022,2019.0,485.0,475.0,466.0,98.11%,2.0,8.0,0.0,98.11%,,,,,,,,,,,,,,,,,,,
NORTH CAROLINA CENTRAL UNIVERSITY,2022,2019.0,127.0,121.0,107.0,88.43%,3.0,3.0,0.0,88.43%,,,,,,,,,,,,,,,,,,,
"NORTH CAROLINA, UNIVERSITY OF",2022,2019.0,208.0,201.0,190.0,94.53%,0.0,9.0,2.0,94.58%,,,,,,,,,,,,,,,,,,,
"NORTH DAKOTA, UNIVERSITY OF",2022,2019.0,105.0,97.0,84.0,86.60%,4.0,4.0,0.0,86.60%,,,,,,,,,,,,,,,,,,,
NORTHEASTERN UNIVERSITY,2022,2019.0,211.0,202.0,190.0,94.06%,0.0,9.0,0.0,94.06%,,,,,,,,,,,,,,,,,,,
NORTHERN ILLINOIS UNIVERSITY,2022,2019.0,80.0,77.0,71.0,92.21%,0.0,3.0,0.0,92.21%,,,,,,,,,,,,,,,,,,,
NORTHERN KENTUCKY UNIVERSITY,2022,2019.0,112.0,107.0,90.0,84.11%,5.0,0.0,0.0,84.11%,,,,,,,,,,,,,,,,,,,
NORTHWESTERN UNIVERSITY,2022,2019.0,240.0,229.0,226.0,98.69%,9.0,2.0,0.0,98.69%,,,,,,,,,,,,,,,,,,,
"NOTRE DAME, UNIVERSITY OF",2022,2019.0,193.0,190.0,185.0,97.37%,2.0,1.0,0.0,97.37%,,,,,,,,,,,,,,,,,,,
NOVA SOUTHEASTERN UNIVERSITY,2022,2019.0,228.0,219.0,186.0,84.93%,0.0,9.0,0.0,84.93%,,,,,,,,,,,,,,,,,,,
OHIO NORTHERN UNIVERSITY,2022,2019.0,49.0,47.0,46.0,97.87%,0.0,2.0,0.0,97.87%,,,,,,,,,,,,,,,,,,,
OHIO STATE UNIVERSITY,2022,2019.0,170.0,157.0,149.0,94.90%,2.0,11.0,0.0,94.90%,,,,,,,,,,,,,,,,,,,
OKLAHOMA CITY UNIVERSITY,2022,2019.0,125.0,120.0,109.0,90.83%,0.0,5.0,0.0,90.83%,,,,,,,,,,,,,,,,,,,
"OKLAHOMA, UNIVERSITY OF",2022,2019.0,176.0,172.0,167.0,97.09%,0.0,4.0,0.0,97.09%,,,,,,,,,,,,,,,,,,,
"OREGON, UNIVERSITY OF",2022,2019.0,96.0,91.0,83.0,91.21%,2.0,3.0,0.0,91.21%,,,,,,,,,,,,,,,,,,,
PACE UNIVERSITY,2022,2019.0,185.0,185.0,170.0,91.89%,0.0,0.0,0.0,91.89%,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA STATE - DICKINSON LAW,2022,2019.0,57.0,55.0,49.0,89.09%,0.0,2.0,0.0,89.09%,,,,,,,,,,,,,,,,,,,
PENNSYLVANIA STATE - PENN STATE LAW,2022,2019.0,147.0,140.0,133.0,95.00%,1.0,6.0,0.0,95.00%,,,,,,,,,,,,,,,,,,,
"PENNSYLVANIA, UNIVERSITY OF",2022,2019.0,251.0,246.0,241.0,97.97%,0.0,5.0,0.0,97.97%,,,,,,,,,,,,,,,,,,,
PEPPERDINE UNIVERSITY,2022,2019.0,184.0,179.0,168.0,93.85%,0.0,5.0,0.0,93.85%,,,,,,,,,,,,,,,,,,,
"PITTSBURGH, UNIVERSITY OF",2022,2019.0,127.0,123.0,115.0,93.50%,0.0,4.0,0.0,93.50%,,,,,,,,,,,,,,,,,,,
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,2022,2019.0,137.0,123.0,56.0,45.53%,5.0,9.0,0.0,45.53%,,,,,,,,,,,,,,,,,,,
"PUERTO RICO, UNIVERSITY OF",2022,2019.0,174.0,156.0,109.0,69.87%,0.0,18.0,0.0,69.87%,,,,,,,,,,,,,,,,,,,
QUINNIPIAC UNIVERSITY,2022,2019.0,76.0,74.0,68.0,91.89%,0.0,2.0,0.0,91.89%,,,,,,,,,,,,,,,,,,,
REGENT UNIVERSITY,2022,2019.0,68.0,63.0,56.0,88.89%,0.0,5.0,0.0,88.89%,,,,,,,,,,,,,,,,,,,
"RICHMOND, UNIVERSITY OF",2022,2019.0,120.0,115.0,107.0,93.04%,0.0,5.0,0.0,93.04%,,,,,,,,,,,,,,,,,,,
ROGER WILLIAMS UNIVERSITY,2022,2019.0,133.0,129.0,113.0,87.60%,1.0,3.0,0.0,87.60%,,,,,,,,,,,,,,,,,,,
RUTGERS UNIVERSITY,2022,2019.0,315.0,300.0,265.0,88.33%,8.0,7.0,0.0,88.33%,,,,,,,,,,,,,,,,,,,
RUTGERS UNIVERSITY-NEWARK,2022,2019.0,224.0,216.0,197.0,91.20%,5.0,4.0,0.0,91.20%,,,,,,,,,,,,,,,,,,,
SAINT LOUIS UNIVERSITY,2022,2019.0,159.0,156.0,145.0,92.95%,2.0,1.0,0.0,92.95%,,,,,,,,,,,,,,,,,,,
SAMFORD UNIVERSITY,2022,2019.0,138.0,136.0,130.0,95.59%,0.0,2.0,0.0,95.59%,,,,,,,,,,,,,,,,,,,
"SAN DIEGO, UNIVERSITY OF",2022,2019.0,192.0,184.0,168.0,91.30%,0.0,8.0,0.0,91.30%,,,,,,,,,,,,,,,,,,,
"SAN FRANCISCO, UNIVERSITY OF",2022,2019.0,116.0,111.0,91.0,81.98%,0.0,5.0,0.0,81.98%,,,,,,,,,,,,,,,,,,,
SANTA CLARA UNIVERSITY,2022,2019.0,214.0,207.0,172.0,83.09%,7.0,7.0,0.0,83.09%,,,,,,,,,,,,,,,,,,,
SEATTLE UNIVERSITY,2022,2019.0,180.0,143.0,128.0,89.51%,7.0,30.0,25.0,91.07%,,,,,,,,,,,,,,,,,,,
SETON HALL UNIVERSITY,2022,2019.0,140.0,137.0,130.0,94.89%,3.0,0.0,0.0,94.89%,,,,,,,,,,,,,,,,,,,
"SOUTH CAROLINA, UNIVERSITY OF",2022,2019.0,196.0,192.0,177.0,92.19%,1.0,3.0,0.0,92.19%,,,,,,,,,,,,,,,,,,,
"SOUTH DAKOTA, UNIVERSITY OF",2022,2019.0,48.0,47.0,44.0,93.62%,1.0,0.0,0.0,93.62%,,,,,,,,,,,,,,,,,,,
SOUTH TEXAS COLLEGE OF LAW HOUSTON,2022,2019.0,268.0,259.0,239.0,92.28%,,9.0,,92.28%,,,,,,,,,,,,,,,,,,,
"SOUTHERN CALIFORNIA, UNIVERSITY OF",2022,2019.0,224.0,216.0,205.0,94.91%,0.0,8.0,1.0,94.93%,,,,,,,,,,,,,,,,,,,
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,2022,2019.0,91.0,89.0,72.0,80.90%,0.0,2.0,0.0,80.90%,,,,,,,,,,,,,,,,,,,
SOUTHERN METHODIST UNIVERSITY,2022,2019.0,262.0,255.0,240.0,94.12%,0.0,7.0,0.0,94.12%,,,,,,,,,,,,,,,,,,,
SOUTHERN UNIVERSITY,2022,2019.0,143.0,122.0,104.0,85.25%,7.0,14.0,0.0,85.25%,,,,,,,,,,,,,,,,,,,
SOUTHWESTERN LAW SCHOOL,2022,2019.0,190.0,184.0,171.0,92.93%,6.0,0.0,0.0,92.93%,,,,,,,,,,,,,,,,,,,
ST. JOHN'S UNIVERSITY,2022,2019.0,222.0,222.0,209.0,94.14%,0.0,0.0,0.0,94.14%,,,,,,,,,,,,,,,,,,,
ST. MARY'S UNIVERSITY,2022,2019.0,200.0,193.0,168.0,87.05%,0.0,7.0,0.0,87.05%,,,,,,,,,,,,,,,,,,,
ST. THOMAS UNIVERSITY (FLORIDA),2022,2019.0,157.0,155.0,132.0,85.16%,2.0,0.0,0.0,85.16%,,,,,,,,,,,,,,,,,,,
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",2022,2019.0,132.0,126.0,110.0,87.30%,0.0,6.0,0.0,87.30%,,,,,,,,,,,,,,,,,,,
STANFORD UNIVERSITY,2022,2019.0,183.0,179.0,177.0,98.88%,2.0,2.0,0.0,98.88%,,,,,,,,,,,,,,,,,,,
STETSON UNIVERSITY,2022,2019.0,245.0,229.0,209.0,91.27%,0.0,16.0,0.0,91.27%,,,,,,,,,,,,,,,,,,,
SUFFOLK UNIVERSITY,2022,2019.0,304.0,289.0,240.0,83.04%,4.0,11.0,0.0,83.04%,,,,,,,,,,,,,,,,,,,
SYRACUSE UNIVERSITY,2022,2019.0,195.0,187.0,174.0,93.05%,1.0,7.0,0.0,93.05%,,,,,,,,,,,,,,,,,,,
TEMPLE UNIVERSITY,2022,2019.0,216.0,211.0,200.0,94.79%,1.0,4.0,0.0,94.79%,,,,,,,,,,,,,,,,,,,
"TENNESSEE, UNIVERSITY OF",2022,2019.0,111.0,108.0,99.0,91.67%,0.0,3.0,0.0,91.67%,,,,,,,,,,,,,,,,,,,
TEXAS A&M UNIVERSITY,2022,2019.0,126.0,121.0,117.0,96.69%,0.0,5.0,0.0,96.69%,,,,,,,,,,,,,,,,,,,
"TEXAS AT AUSTIN, UNIVERSITY OF",2022,2019.0,304.0,295.0,287.0,97.29%,3.0,6.0,0.0,97.29%,,,,,,,,,,,,,,,,,,,
TEXAS SOUTHERN UNIVERSITY,2022,2019.0,193.0,187.0,144.0,77.01%,0.0,6.0,0.0,77.01%,,,,,,,,,,,,,,,,,,,
TEXAS TECH UNIVERSITY,2022,2019.0,136.0,135.0,123.0,91.11%,0.0,1.0,0.0,91.11%,,,,,,,,,,,,,,,,,,,
"TOLEDO, UNIVERSITY OF",2022,2019.0,80.0,72.0,66.0,91.67%,8.0,0.0,0.0,91.67%,,,,,,,,,,,,,,,,,,,
TOURO UNIVERSITY,2022,2019.0,113.0,111.0,96.0,86.49%,0.0,2.0,0.0,86.49%,,,,,,,,,,,,,,,,,,,
TULANE UNIVERSITY,2022,2019.0,175.0,169.0,144.0,85.21%,0.0,6.0,0.0,85.21%,,,,,,,,,,,,,,,,,,,
"TULSA, UNIVERSITY OF",2022,2019.0,81.0,78.0,70.0,89.74%,0.0,3.0,0.0,89.74%,,,,,,,,,,,,,,,,,,,
UNIVERSITY OF BUFFALO-SUNY,2022,2019.0,140.0,135.0,116.0,85.93%,4.0,1.0,1.0,86.03%,,,,,,,,,,,,,,,,,,,
